,English,English_cleaned,Spanish,French,German
8755,i have few books,i have few books,tengo pocos libros,j'ai peu de livres,Ich habe wenige Bücher
8756,i have forgotten,i have forgotten,he olvidado,j'ai oublié,Ich habe vergessen
8757,i have good news,i have good news,tengo buenas noticias,j'ai de bonnes nouvelles,ich habe gute Nachrichten
8758,i have hay fever,i have hay fever,tengo fiebre del heno,j'ai le rhume des foins,Ich habe Heuschnupfen
8759,i have heartburn,i have heartburn,tengo acidez estomacal,j'ai des brûlures d'estomac,Ich habe Sodbrennen
8760,i have insurance,i have insurance,tengo seguro,j'ai une assurance,Ich habe eine Versicherung
8761,i have no choice,i have no choice,No tengo otra opción,je n'ai pas le choix,ich habe keine Wahl
8762,i have no excuse,i have no excuse,no tengo excusa,je n'ai aucune excuse,Ich habe keine Entschuldigung
8763,i have no family,i have no family,No tengo familia,je n'ai pas de famille,Ich habe keine Familie
8764,i have one child,i have one child,tengo un hijo,j'ai un enfant,Ich habe ein Kind
8765,i have pneumonia,i have pneumonia,Tengo neumonía,J'ai une pneumonie,Ich habe eine Lungenentzündung
8766,i have questions,i have questions,tengo preguntas,j'ai des questions,Ich habe Fragen
8767,i have some food,i have some food,tengo algo de comida,j'ai de la nourriture,Ich habe etwas zu essen
8768,i have some time,i have some time,Tengo algo de tiempo,j'ai un peu de temps,Ich habe etwas Zeit
8769,i have something,i have something,tengo algo,j'ai quelque chose,ich habe etwas
8770,i have sore feet,i have sore feet,tengo dolor de pies,j'ai mal aux pieds,Ich habe wunde Füße
8771,i have standards,i have standards,tengo normas,j'ai des normes,Ich habe Maßstäbe
8772,i have to change,i have to change,tengo que cambiar,Je dois changer,Ich muss verändern
8773,i have to escape,i have to escape,tengo que escapar,je dois m'échapper,ich muss fliehen
8774,i have to go now,i have to go now,tengo que irme ahora,je dois partir maintenant,ich muss jetzt gehen
8775,i have to say no,i have to say no,tengo que decir no,Je dois dire non,ich muss nein sagen
8776,i have toothache,i have toothache,Tengo dolor de muelas,j'ai mal aux dents,ich habe Zahnweh
8777,i have two books,i have two books,tengo dos libros,j'ai deux livres,Ich habe zwei Bücher
8778,i hear he is ill,i hear he is ill,escuché que está enfermo,j'entends qu'il est malade,"Ich höre, er ist krank"
8779,i hear something,i hear something,oigo algo,J'entends quelque chose,ich höre etwas
8780,i hear the phone,i hear the phone,escucho el teléfono,j'entends le téléphone,Ich höre das Telefon
8781,i heard a scream,i heard a scream,escuché un grito,j'ai entendu un cri,Ich hörte einen Schrei
8782,i heard about it,i heard about it,oí sobre ello,j'en ai entendu parler,ich habe davon gehört
8783,i heard coughing,i heard coughing,escuché toser,j'ai entendu tousser,Ich hörte Husten
8784,i heard gunshots,i heard gunshots,escuché disparos,j'ai entendu des coups de feu,Ich hörte Schüsse
8785,i heard it on tv,i heard it on tv,lo escuché en la televisión,je l'ai entendu à la télé,Ich habe es im Fernsehen gehört
8786,i heard the bell,i heard the bell,escuché la campana,j'ai entendu la cloche,Ich habe die Glocke gehört
8787,i hope it's over,i hope it is over,espero que se acabe,j'espère que c'est fini,ich hoffe es ist vorbei
8788,i hope it's true,i hope it is true,espero que sea verdad,J'espère que c'est vrai,ich hoffe es stimmt
8789,i hope to attend,i hope to attend,espero asistir,j'espère y assister,"Ich hoffe, dabei zu sein"
8790,i hope you agree,i hope you agree,espero que estés de acuerdo,j'espère que tu es d'accord,ich hoffe du bist damit einverstanden
8791,i insist on that,i insist on that,insisto en eso,j'insiste là-dessus,darauf bestehe ich
8792,i just got a job,i just got a job,acabo de conseguir un trabajo,je viens de trouver un emploi,Ich habe gerade einen Job bekommen
8793,i just got fired,i just got fired,me acaban de despedir,je viens de me faire virer,Ich wurde gerade gefeuert
8794,i just love that,i just love that,me encanta eso,j'adore ça,ich liebe das einfach
8795,i just opened it,i just opened it,lo acabo de abrir,je viens de l'ouvrir,Ich habe es gerade geöffnet
8796,i just said that,i just said that,Acabo de decir que,Je viens de dire que,Ich habe das gerade gesagt
8797,i keep a journal,i keep a journal,mantengo un diario,je tiens un journal,Ich führe ein Tagebuch
8798,i kicked the dog,i kicked the dog,pateé al perro,j'ai donné un coup de pied au chien,Ich habe den Hund getreten
8799,i knew the risks,i knew the risks,conocía los riesgos,je connaissais les risques,Ich kannte die Risiken
8800,i knit every day,i knit every day,tejo todos los días,je tricote tous les jours,Ich stricke jeden Tag
8801,i know i'm wrong,i know i am wrong,sé que estoy equivocado,je sais que je me trompe,"Ich weiß, dass ich falsch liege"
8802,i know tom is in,i know tom is in,Sé que Tom está en,Je sais que Tom est dans,"Ich weiß, dass Tom dabei ist"
8803,i know he did it,i know he did it,yo se que el lo hizo,je sais qu'il l'a fait,"Ich weiß, dass er es getan hat"
8804,i know it myself,i know it myself,yo mismo lo se,je le sais moi-même,Ich weiß es selbst
8805,i know only this,i know only this,solo se esto,je ne connais que ça,ich weiß nur das
8806,i know that girl,i know that girl,Sé que esa chica,je connais cette fille,Ich kenne das Mädchen
8807,i know that name,i know that name,conozco ese nombre,je connais ce nom,ich kenne diesen namen
8808,i know the drill,i know the drill,conozco el ejercicio,je connais l'exercice,Ich kenne die Übung
8809,i know the truth,i know the truth,yo sé la verdad,je connais la vérité,Ich kenne die Wahrheit
8810,i know this song,i know this song,Yo me sé esta canción,Je connais cette chanson,ich kenne dieses Lied
8811,i know your face,i know your face,conozco tu cara,je connais ton visage,Ich kenne dein Gesicht
8812,i know your name,i know your name,sé tu nombre,je connais ton nom,ich kenne deinen Namen
8813,i know your type,i know your type,conozco tu tipo,je connais ton genre,Ich kenne deinen Typ
8814,i leave tomorrow,i leave tomorrow,Me voy mañana,Je pars demain,ich gehe morgen
8815,i left a message,i left a message,Dejé un mensaje,j'ai laissé un message,Ich habe eine Nachricht hinterlassen
8816,i let the cat in,i let the cat in,dejé entrar al gato,je laisse entrer le chat,Ich habe die Katze hereingelassen
8817,i lifted the box,i lifted the box,levanté la caja,j'ai soulevé la boîte,Ich habe die Kiste hochgehoben
8818,i like astrology,i like astrology,me gusta la astrologia,j'aime l'astrologie,Ich mag Astrologie
8819,i like chocolate,i like chocolate,me gusta el chocolate,J'aime le chocolat,ich mag Schokolade
8820,i like elephants,i like elephants,me gustan los elefantes,j'aime les éléphants,Ich mag Elefanten
8821,i like fresh air,i like fresh air,me gusta el aire fresco,j'aime l'air frais,Ich mag frische Luft
8822,i like her novel,i like her novel,me gusta su novela,j'aime son roman,Ich mag ihren Roman
8823,i like his music,i like his music,Me gusta su música,j'aime sa musique,Ich mag seine Musik
8824,i like math best,i like math best,me gustan mas las matematicas,je préfère les maths,Ich mag Mathe am liebsten
8825,i like mysteries,i like mysteries,Me gustan los misterios,J'aime les mystères,Ich mag Geheimnisse
8826,i like pop music,i like pop music,Me gusta la música pop,J'aime la musique pop,ich mag Popmusik
8827,i like surprises,i like surprises,me gustan las sorpresas,j'aime les surprises,Ich mag Überraschungen
8828,i like that idea,i like that idea,Me gusta esa idea,J'aime cette idée,ich mag diese Idee
8829,i like that song,i like that song,me gusta esa canción,J'aime cette chanson,Ich mag dieses Lied
8830,i like the beach,i like the beach,me gusta la playa,J'aime la plage,Ich mag den Strand
8831,i like the ocean,i like the ocean,me gusta el océano,j'aime l'océan,Ich mag das Meer
8832,i like these two,i like these two,me gustan estos dos,j'aime ces deux,ich mag diese beiden
8833,i like this book,i like this book,me gusta este libro,J'aime ce livre,Ich mag dieses Buch
8834,i like this game,i like this game,me gusta este juego,J'aime ce jeu,Ich mag dieses Spiel
8835,i like this room,i like this room,me gusta esta habitación,j'aime cette chambre,Ich mag dieses Zimmer
8836,i like this song,i like this song,me gusta esta canción,J'aime cette chanson,Ich mag das Lied
8837,i like to travel,i like to travel,me gusta viajar,J'aime voyager,Ich reise gerne
8838,i like traveling,i like traveling,Me gusta viajar,J'aime voyager,Ich mag reisen
8839,i like what i do,i like what i do,me gusta lo que hago,j'aime ce que je fais,ich mag Was ich mache
8840,i like your city,i like your city,me gusta tu ciudad,j'aime ta ville,Ich mag deine Stadt
8841,i like your hair,i like your hair,me gusta tu pelo,J'aime tes cheveux,Ich mag deine Haare
8842,i like your legs,i like your legs,Me gustan tus piernas,J'aime tes jambes,ich mag deine Beine
8843,i liked it a lot,i liked it a lot,Me gustó mucho,j'ai beaucoup aimé,ich mochte es sehr
8844,i lit the candle,i lit the candle,encendí la vela,j'ai allumé la bougie,Ich habe die Kerze angezündet
8845,i live in boston,i live in boston,vivo en Boston,je vis à Boston,ich lebe in Boston
8846,i live near here,i live near here,yo vivo cerca de aquí,je vis près d'ici,Ich lebe hier in der Nähe
8847,i live next door,i live next door,vivo al lado,j'habite à côté,Ich lebe neben an
8848,i live on a boat,i live on a boat,vivo en un barco,je vis sur un bateau,Ich lebe auf einem Boot
8849,i lost my camera,i lost my camera,perdí mi cámara,j'ai perdu mon appareil photo,Ich habe meine Kamera verloren
8850,i lost my papers,i lost my papers,perdí mis papeles,j'ai perdu mes papiers,Ich habe meine Papiere verloren
8851,i lost my temper,i lost my temper,perdí la calma,j'ai perdu mon sang-froid,Ich habe die Beherschung verloren
8852,i lost my wallet,i lost my wallet,Perdí mi cartera,J'ai perdu mon porte-monnaie,Ich habe meine Geldtasche verloren
8853,i lost the watch,i lost the watch,perdí el reloj,j'ai perdu la montre,Ich habe die Uhr verloren
8854,i love australia,i love australia,me encanta australia,j'aime l'australie,Ich liebe Australien
8855,i love christmas,i love christmas,amo la Navidad,J `aime noel,ich liebe Weihnachten
8856,i love adventure,i love adventure,amo la aventura,j'aime l'aventure,Ich liebe Abenteuer
8857,i love astronomy,i love astronomy,me encanta la astronomia,j'aime l'astronomie,Ich liebe Astronomie
8858,i love chocolate,i love chocolate,amo el chocolate,J'aime le chocolat,ich liebe Schokolade
8859,i love egg yolks,i love egg yolks,me encantan las yemas de huevo,j'adore les jaunes d'oeufs,Ich liebe Eigelb
8860,i love gardening,i love gardening,amo la jardineria,j'aime le jardinage,Ich liebe Gartenarbeit
8861,i love libraries,i love libraries,amo las bibliotecas,j'aime les bibliothèques,Ich liebe Bibliotheken
8862,i love my family,i love my family,amo a mi familia,J'adore ma famille,Ich liebe meine Familie
8863,i love my mother,i love my mother,quiero a mi madre,J'aime ma mère,ich liebe meine Mutter
8864,i love old books,i love old books,me encantan los libros antiguos,j'aime les vieux livres,Ich liebe alte Bücher
8865,i love soul food,i love soul food,me encanta la comida del alma,j'aime la nourriture de l'âme,Ich liebe Soulfood
8866,i love surprises,i love surprises,Me encantan las sorpresas,j'aime les surprises,Ich liebe Überraschungen
8867,i love that book,i love that book,me encanta ese libro,j'adore ce livre,Ich liebe dieses Buch
8868,i love that idea,i love that idea,me encanta esa idea,j'adore cette idée,Ich liebe diese Idee
8869,i love that show,i love that show,me encanta ese programa,j'adore ce spectacle,Ich liebe diese Show
8870,i love that song,i love that song,me encanta esa canción,J'adore cette chanson,ich liebe dieses Lied
8871,i love that suit,i love that suit,me encanta ese traje,j'adore ce costume,Ich liebe diesen Anzug
8872,i love that word,i love that word,me encanta esa palabra,j'aime ce mot,Ich liebe dieses Wort
8873,i love this band,i love this band,amo esta banda,J'aime ce groupe,ich liebe diese Band
8874,i love this game,i love this game,me encanta este juego,J'adore ce jeu,ich liebe dieses Spiel
8875,i love this part,i love this part,Amo esta parte,j'aime cette partie,Ich liebe dieses Teil
8876,i love this show,i love this show,me encanta este programa,j'adore ce spectacle,Ich liebe diese Sendung
8877,i love this song,i love this song,amo esta canción,J'adore cette chanson,Ich liebe dieses Lied
8878,i love this town,i love this town,amo esta ciudad,j'aime cette ville,ich liebe diese Stadt
8879,i love this view,i love this view,me encanta esta vista,j'aime cette vue,Ich liebe diese Aussicht
8880,i love to travel,i love to travel,me encanta viajar,J'aime voyager,Ich liebe es zu reisen
8881,i love traveling,i love traveling,Amo viajar,J'aime voyager,Ich liebe Reisen
8882,i love what i do,i love what i do,yo amo lo que hago,J'aime ce que je fais,"ich liebe, was ich tue"
8883,i love you a lot,i love you a lot,te quiero mucho,je t'aime beaucoup,ich liebe dich sehr
8884,i love your city,i love your city,amo tu ciudad,j'aime ta ville,Ich liebe deine Stadt
8885,i love your eyes,i love your eyes,amo tus ojos,J'aime tes yeux,ich liebe deine Augen
8886,i love your hair,i love your hair,amo tu cabello,J'adore tes cheveux,ich liebe deine Haare
8887,i loved that car,i loved that car,me encantaba ese coche,j'ai adoré cette voiture,Ich liebte dieses Auto
8888,i loved that dog,i loved that dog,amaba a ese perro,j'aimais ce chien,Ich liebte diesen Hund
8889,i loved the play,i loved the play,me encantó la obra,j'ai adoré le jeu,Ich liebte das Stück
8890,i made tom laugh,i made tom laugh,hice reír a tom,j'ai fait rire tom,Ich habe Tom zum Lachen gebracht
8891,i made a fortune,i made a fortune,hice una fortuna,j'ai fait fortune,Ich habe ein Vermögen gemacht
8892,i made a mistake,i made a mistake,Cometí un error,j'ai fait une erreur,Ich machte einen Fehler
8893,i made a promise,i made a promise,hice una promesa,j'ai fait une promesse,Ich habe es versprochen
8894,i made a snowman,i made a snowman,hice un muñeco de nieve,j'ai fait un bonhomme de neige,Ich habe einen Schneemann gebaut
8895,i made breakfast,i made breakfast,Hice el desayuno,j'ai fait le petit déjeuner,Ich habe Frühstück gemacht
8896,i made him do so,i made him do so,lo obligué a hacerlo,je lui ai fait faire,Ich habe ihn dazu gebracht
8897,i made it myself,i made it myself,lo hice yo,je l'ai fait moi-même,ich habe es selbst gemacht
8898,i make the rules,i make the rules,Yo hago las reglas,je fais les règles,Ich mache die Regeln
8899,i may be too old,i may be too old,Puedo ser demasiado viejo,je suis peut-être trop vieux,Ich bin vielleicht zu alt
8900,i met my friends,i met my friends,Me encontre con mis amigos,j'ai rencontré mes amis,Ich habe meine Freunde getroffen
8901,i might be wrong,i might be wrong,podría estar equivocado,j'ai peut être tort,Ich könnte falsch liegen
8902,i miss her a lot,i miss her a lot,la extraño mucho,Elle me manque beaucoup,ich vermisse sie sehr
8903,i miss you a lot,i miss you a lot,Te extraño mucho,tu me manques beaucoup,Ich vermisse dich sehr
8904,i miss you badly,i miss you badly,te extraño mucho,tu me manques beaucoup,ich vermisse dich sehr
8905,i missed the bus,i missed the bus,Perdí el autobús,J'ai manqué le bus,Ich habe den Bus verpasst
8906,i must apologize,i must apologize,Debo disculparme,Je dois présenter des excuses,Ich muss mich entschuldigen
8907,i must get going,i must get going,Debo irme,Je dois partir,Ich muss jetzt gehen
8908,i must leave now,i must leave now,debo irme ahora,je dois partir maintenant,Ich muss jetzt gehen
8909,i must warn them,i must warn them,debo advertirles,je dois les prévenir,Ich muss sie warnen
8910,i nearly starved,i nearly starved,casi me muero de hambre,j'ai failli mourir de faim,ich bin fast verhungert
8911,i need a kleenex,i need a kleenex,necesito un kleenex,j'ai besoin d'un kleenex,Ich brauche ein Kleenex
8912,i need a blanket,i need a blanket,necesito una manta,j'ai besoin d'une couverture,Ich brauche eine Decke
8913,i need a haircut,i need a haircut,necesito un corte de pelo,j'ai besoin d'une coupe de cheveux,ich benötige einen Haarschnitt
8914,i need a holiday,i need a holiday,necesito unas vacaciones,j'ai besoin de vacances,ich brauche Ferien
8915,i need a miracle,i need a miracle,necesito un milagro,j'ai besoin d'un miracle,Ich brauche ein Wunder
8916,i need a new one,i need a new one,Necesito uno nuevo,j'ai besoin d'un nouveau,Ich brauche eine neue
8917,i need a partner,i need a partner,necesito un socio,j'ai besoin d'un partenaire,Ich brauche einen Partner
8918,i need a plumber,i need a plumber,necesito un fontanero,j'ai besoin d'un plombier,Ich brauche einen Klempner
8919,i need a red pen,i need a red pen,necesito un bolígrafo rojo,j'ai besoin d'un stylo rouge,Ich brauche einen roten Stift
8920,i need all of it,i need all of it,lo necesito todo,j'ai besoin de tout,ich brauche das alles
8921,i need an escort,i need an escort,necesito una escolta,j'ai besoin d'une escorte,Ich brauche eine Eskorte
8922,i need envelopes,i need envelopes,necesito sobres,j'ai besoin d'enveloppes,Ich brauche Umschläge
8923,i need more gold,i need more gold,necesito mas oro,j'ai besoin de plus d'or,Ich brauche mehr Gold
8924,i need more room,i need more room,necesito mas espacio,j'ai besoin de plus de place,Ich brauche mehr Platz
8925,i need more time,i need more time,necesito más tiempo,j'ai besoin de plus de temps,ich brauche mehr Zeit
8926,i need new shoes,i need new shoes,necesito zapatos nuevos,j'ai besoin de nouvelles chaussures,Ich brauche neue Schuhe
8927,i need new tires,i need new tires,necesito llantas nuevas,j'ai besoin de nouveaux pneus,Ich brauche neue Reifen
8928,i need some cash,i need some cash,necesito algo de efectivo,j'ai besoin d'argent,Ich brauche etwas Bargeld
8929,i need some soap,i need some soap,necesito un poco de jabón,j'ai besoin de savon,Ich brauche etwas Seife
8930,i need subtitles,i need subtitles,necesito subtitulos,j'ai besoin de sous-titres,Ich brauche Untertitel
8931,i need the money,i need the money,necesito el dinero,j'ai besoin d'argent,Ich brauche Geld
8932,i need to travel,i need to travel,necesito viajar,J'ai besoin de voyager,Ich muss reisen
8933,i need your help,i need your help,necesito tu ayuda,j'ai besoin de votre aide,Ich brauche deine Hilfe
8934,i never did that,i never did that,nunca hice eso,je n'ai jamais fait ça,ich habe das nie getan
8935,i never sleep in,i never sleep in,nunca duermo,je ne dors jamais,ich schlafe nie aus
8936,i never told tom,i never told tom,nunca le dije a tom,je ne lui ai jamais dit,Ich habe es Tom nie gesagt
8937,i often exercise,i often exercise,a menudo hago ejercicio,je fais souvent du sport,ich trainiere oft
8938,i opened one eye,i opened one eye,abrí un ojo,j'ai ouvert un oeil,Ich öffnete ein Auge
8939,i opened the bag,i opened the bag,abrí la bolsa,j'ai ouvert le sac,Ich habe die Tasche geöffnet
8940,i owe him a debt,i owe him a debt,le debo una deuda,je lui dois une dette,Ich schulde ihm etwas
8941,i owe you a beer,i owe you a beer,Te debo una cerveza,je te dois une bière,ich schulde dir ein Bier
8942,i own a computer,i own a computer,tengo una computadora,je possède un ordinateur,Ich besitze einen Computer
8943,i own this place,i own this place,soy dueño de este lugar,je possède cet endroit,Ich besitze diesen Ort
8944,i own this store,i own this store,soy dueño de esta tienda,je possède ce magasin,Ich besitze diesen Laden
8945,i paid attention,i paid attention,presté atención,j'ai fait attention,ich habe darauf geachtet
8946,i paid the check,i paid the check,pagué el cheque,j'ai payé le chèque,Ich habe den Scheck bezahlt
8947,i party too much,i party too much,salgo demasiado de fiesta,je fais trop la fête,Ich feiere zu viel
8948,i pay my own way,i pay my own way,pago a mi manera,je paie mon propre chemin,Ich zahle meinen eigenen Weg
8949,i planted a tree,i planted a tree,planté un árbol,j'ai planté un arbre,Ich habe einen Baum gepflanzt
8950,i play in a band,i play in a band,toco en una banda,je joue dans un groupe,Ich spiele in einer Band
8951,i play the piano,i play the piano,Toco el piano,Je joue du piano,Ich spiele Klavier
8952,i pointed at him,i pointed at him,lo señalé,je l'ai pointé du doigt,Ich zeigte auf ihn
8953,i prayed for tom,i prayed for tom,recé por tom,j'ai prié pour tom,Ich habe für Tom gebetet
8954,i prefer reading,i prefer reading,prefiero leer,je préfère lire,ich lese lieber
8955,i prefer to read,i prefer to read,prefiero leer,je préfère lire,ich lese lieber
8956,i prefer to walk,i prefer to walk,prefiero caminar,je préfère marcher,Ich gehe lieber zu Fuß
8957,i prefer walking,i prefer walking,prefiero caminar,je préfère marcher,ich gehe lieber spazieren
8958,i ran downstairs,i ran downstairs,corrí escaleras abajo,j'ai couru en bas,Ich rannte nach unten
8959,i ran out of gas,i ran out of gas,me quedé sin gasolina,je suis tombé en panne d'essence,Mir ist das Benzin ausgegangen
8960,i ran out of ink,i ran out of ink,me quedé sin tinta,je n'ai plus d'encre,Mir ist die Tinte ausgegangen
8961,i really am busy,i really am busy,realmente estoy ocupado,je suis vraiment occupé,Ich bin wirklich beschäftigt
8962,i really hope so,i really hope so,realmente espero eso,J'espère vraiment,Das hoffe ich wirklich
8963,i really hurried,i really hurried,realmente me apresure,je me suis vraiment dépêché,Ich habe mich wirklich beeilt
8964,i really like it,i really like it,Me gusta mucho,J'aime vraiment ça,ich mag es wirklich
8965,i really mean it,i really mean it,lo digo en serio,je le pense vraiment,Ich meine es ernst
8966,i really need it,i really need it,lo necesito de verdad,j'en ai vraiment besoin,ich brauche es wirklich
8967,i recommend this,i recommend this,recomiendo esto,je recommande ceci,Ich empfehle das
8968,i refuse to work,i refuse to work,me niego a trabajar,je refuse de travailler,Ich weigere mich zu arbeiten
8969,i refused to pay,i refused to pay,me negué a pagar,j'ai refusé de payer,Ich weigerte mich zu zahlen
8970,i regret nothing,i regret nothing,me arrepiento de nada,je ne regrette rien,ich bereue nichts
8971,i require advice,i require advice,requiero consejo,j'ai besoin de conseils,Ich brauche Rat
8972,i rubbed my feet,i rubbed my feet,me froté los pies,je me suis frotté les pieds,Ich habe meine Füße gerieben
8973,i run this place,i run this place,dirijo este lugar,je dirige cet endroit,Ich leite diesen Ort
8974,i said i was sad,i said i was sad,dije que estaba triste,j'ai dit que j'étais triste,"Ich sagte, ich sei traurig"
8975,i said stay back,i said stay back,Dije que te quedaras atrás,j'ai dit de rester en arrière,"Ich sagte, bleib zurück"
8976,i sat at the bar,i sat at the bar,me senté en el bar,je me suis assis au bar,Ich saß an der Bar
8977,i sat beside her,i sat beside her,me senté a su lado,je me suis assis à côté d'elle,Ich saß neben ihr
8978,i saw tom's face,i saw tom s face,vi la cara de tom,j'ai vu le visage de tom,Ich habe Toms Gesicht gesehen
8979,i saw everything,i saw everything,vi todo,j'ai tout vu,Ich habe alles gesehen
8980,i saw him go out,i saw him go out,lo vi salir,je l'ai vu sortir,Ich sah ihn ausgehen
8981,i see your house,i see your house,veo tu casa,je vois ta maison,Ich sehe dein Haus
8982,i see your point,i see your point,entiendo tu argumento,Je vois ce que tu veux dire,"ich weiß, worauf du hinauswillst"
8983,i seldom do that,i seldom do that,Rara vez hago eso,je fais rarement ça,das mache ich selten
8984,i seldom see him,i seldom see him,rara vez lo veo,je le vois rarement,ich sehe ihn selten
8985,i sell computers,i sell computers,vendo computadoras,je vends des ordinateurs,Ich verkaufe Computer
8986,i sell umbrellas,i sell umbrellas,vendo paraguas,je vends des parapluies,Ich verkaufe Regenschirme
8987,i sing at church,i sing at church,yo canto en la iglesia,je chante à l'église,Ich singe in der Kirche
8988,i sold the books,i sold the books,vendí los libros,j'ai vendu les livres,Ich habe die Bücher verkauft
8989,i started crying,i started crying,Empecé a llorar,j'ai commencé à pleurer,Ich fing an zu weinen
8990,i started to cry,i started to cry,comencé a llorar,j'ai commencé à pleurer,Ich fing an zu weinen
8991,i still like tom,i still like tom,todavía me gusta tom,j'aime toujours tom,Ich mag Tom immer noch
8992,i still love you,i still love you,Todavia te quiero,je t'aime encore,Ich liebe dich immer noch
8993,i still think so,i still think so,todavía lo creo,je le pense toujours,Ich denke immer noch
8994,i strongly agree,i strongly agree,estoy totalmente de acuerdo,Je suis entièrement d'accord,Ich bin sehr einverstanden
8995,i suffered a lot,i suffered a lot,sufrí mucho,j'ai beaucoup souffert,ich habe sehr gelitten
8996,i swim every day,i swim every day,nado todos los días,je nage tous les jours,Ich schwimme jeden Tag
8997,i talk to myself,i talk to myself,hablo solo,je me parle,Ich rede mit mir selbst
8998,i think i'm done,i think i am done,creo que he terminado,je pense que j'ai fini,"Ich denke, ich bin fertig"
8999,i think tom died,i think tom died,creo que tom murio,je pense que tom est mort,"Ich glaube, Tom ist gestorben"
9000,i think tom left,i think tom left,creo que tom se fue,Je pense que Tom est parti,"Ich glaube, Tom ist gegangen"
9001,i think it's tom,i think it is tom,creo que es tom,je pense que c'est tom,"Ich glaube, es ist Tom"
9002,i took a picture,i took a picture,tomé una foto,J'ai pris une photo,Ich habe ein Bild gemacht
9003,i took the money,i took the money,tomé el dinero,j'ai pris l'argent,Ich habe das Geld genommen
9004,i totally forgot,i totally forgot,lo olvidé totalmente,j'ai complètement oublié,ich hab es total vergessen
9005,i tried to do it,i tried to do it,traté de hacerlo,j'ai essayé de le faire,"Ich habe versucht, es zu tun"
9006,i truly hope not,i truly hope not,Realmente espero que no,j'espère vraiment que non,Ich hoffe wirklich nicht
9007,i understand why,i understand why,entiendo porque,je comprends pourquoi,ich verstehe warum
9008,i understand you,i understand you,te entiendo,je te comprends,Ich verstehe dich
9009,i used to be fat,i used to be fat,solia ser gordo,j'étais gros,Ich war mal dick
9010,i visited boston,i visited boston,visité boston,j'ai visité boston,Ich habe Boston besucht
9011,i waited a month,i waited a month,esperé un mes,j'ai attendu un mois,Ich habe einen Monat gewartet
9012,i waited a while,i waited a while,esperé un rato,j'ai attendu un moment,Ich habe eine Weile gewartet
9013,i walk every day,i walk every day,camino todos los días,je marche tous les jours,Ich gehe jeden Tag
9014,i walk to school,i walk to school,yo camino a la escuela,j'ai marché jusqu'à l'école,ich gehe zur Schule
9015,i want tom fired,i want tom fired,quiero que despidan a tom,je veux que Tom soit viré,"Ich möchte, dass Tom gefeuert wird"
9016,i want a bicycle,i want a bicycle,quiero una bicicleta,je veux un vélo,Ich möchte ein Fahrrad
9017,i want a blanket,i want a blanket,quiero una manta,je veux une couverture,Ich möchte eine Decke
9018,i want a divorce,i want a divorce,Quiero el divorcio,je veux un divorce,Ich will eine Scheidung
9019,i want a martini,i want a martini,quiero un martini,je veux un martini,Ich möchte einen Martini
9020,i want a pen pal,i want a pen pal,quiero un amigo por correspondencia,je veux un correspondant,Ich möchte einen Brieffreund
9021,i want a raccoon,i want a raccoon,quiero un mapache,je veux un raton laveur,Ich möchte einen Waschbären
9022,i want a rematch,i want a rematch,quiero una revancha,je veux une revanche,Ich will einen Rückkampf
9023,i want a scooter,i want a scooter,quiero un patinete,je veux un scooter,Ich möchte einen Roller
9024,i want ice cream,i want ice cream,quiero helado,je veux une glace,ich will Eis
9025,i want much more,i want much more,quiero mucho más,je veux beaucoup plus,Ich will viel mehr
9026,i want some help,i want some help,quiero ayuda,je veux de l'aide,Ich möchte etwas Hilfe
9027,i want some milk,i want some milk,Quiero un poco de leche,je veux du lait,Ich möchte etwas Milch
9028,i want that book,i want that book,quiero ese libro,je veux ce livre,ich will das buch
9029,i want the facts,i want the facts,quiero los hechos,je veux les faits,Ich will die Fakten
9030,i want to go out,i want to go out,Quiero salir,je veux sortir,ich will ausgehen
9031,i want to resign,i want to resign,quiero renunciar,je veux démissionner,ich möchte kündigen
9032,i want to retire,i want to retire,quiero jubilarme,je veux prendre ma retraite,Ich möchte in Rente gehen
9033,i want to scream,i want to scream,quiero gritar,je veux crier,Ich will schreien
9034,i want to see it,i want to see it,Quiero verlo,je veux le voir,ich will es sehen
9035,i want to try it,i want to try it,Quiero intentarlo,je veux l'essayer,ich möchte es probieren
9036,i want us to win,i want us to win,quiero que ganemos,je veux que nous gagnions,"Ich will, dass wir gewinnen"
9037,i want vengeance,i want vengeance,quiero venganza,je veux me venger,Ich will Rache
9038,i want you to go,i want you to go,quiero que vayas,Je veux que tu partes,"Ich möchte, dass du gehst"
9039,i want your love,i want your love,quiero tu amor,je veux ton amour,Ich will deine Liebe
9040,i wanted to come,i wanted to come,quería venir,je voulais venir,ich wollte kommen
9041,i wanted to quit,i wanted to quit,quería dejar de fumar,je voulais arrêter,ich wollte aufhören
9042,i was 13 in 2003,i was 13 in 2003,tenía 13 años en 2003,j'avais 13 ans en 2003,2003 war ich 13
9043,i was a criminal,i was a criminal,yo era un criminal,j'étais un criminel,Ich war ein Verbrecher
9044,i was astonished,i was astonished,Estaba sorprendido,j'étais stupéfait,Ich war erstaunt
9045,i was born there,i was born there,yo nací allí,je suis né là-bas,Ich bin dort geboren
9046,i was devastated,i was devastated,estaba devastado,j'étais dévasté,Ich war am Boden zerstört
9047,i was distracted,i was distracted,estaba distraido,j'étais distrait,Ich war abgelenkt
9048,i was dumbstruck,i was dumbstruck,estaba estupefacto,j'étais abasourdi,Ich war sprachlos
