,English,English_cleaned,Spanish,French,German
296,is that a threat,is that a threat,es eso una amenaza,est-ce une menace,ist das eine Bedrohung
297,is that an order,is that an order,eso es una orden,est-ce une commande,ist das eine bestellung
298,is that for sale,is that for sale,esta a la venta,c'est à vendre,ist das zu verkaufen
299,is that too hard,is that too hard,es demasiado dificil,est-ce trop dur,ist das zu schwer
300,is that too much,is that too much,Es eso demasiado,est-ce trop,"ist, dass zu viel"
301,is that your car,is that your car,ese es tu carro,est-ce votre voiture,ist das dein Auto
302,is that your cat,is that your cat,es ese tu gato,c'est ton chat,ist das deine katze
303,is that your dog,is that your dog,Ese es tu perro,est-ce votre chien,ist das dein Hund
304,is that your mom,is that your mom,Esa es tu mamá,c'est ta maman,ist das deine Mutter
305,is the bank open,is the bank open,¿Está abierto el banco?,la banque est-elle ouverte,ist die Bank geöffnet
306,is the door open,is the door open,esta la puerta abierta,la porte est-elle ouverte,ist die Tür offen
307,is there a point,is there a point,hay un punto,y a-t-il un point,gibt es einen punkt
308,is this 223-1374,is this 223 1374,es esto 223 1374,est-ce 223 1374,ist das 223 1374
309,is this a letter,is this a letter,es esta una carta,est-ce une lettre,ist das ein Brief
310,is this a riddle,is this a riddle,¿Es esto un acertijo?,est-ce une énigme,ist das ein rätsel
311,is this for sale,is this for sale,esta a la venta,est-ce à vendre,ist das zu verkaufen
312,is this too high,is this too high,¿Es esto demasiado alto?,est-ce trop haut,ist das zu hoch
313,is this your dvd,is this your dvd,es este tu dvd,est-ce votre dvd,ist das deine dvd
314,is this your car,is this your car,Este es tu carro,est-ce votre voiture,Ist das dein Auto
315,is this your dog,is this your dog,es este tu perro,est-ce ton chien,ist das dein Hund
316,is this your pen,is this your pen,Este es tu lapiz,Est-ce ton crayon,Ist das dein Stift
317,is your car fast,is your car fast,tu coche es rapido,est-ce que ta voiture est rapide,ist dein Auto schnell
318,is your dog mean,is your dog mean,¿Tu perro es malo?,est-ce que votre chien est méchant,ist dein Hund gemein
319,is your mom home,is your mom home,¿Está tu mamá en casa?,est-ce que ta mère est à la maison,ist deine Mutter zu Hause
320,isn't that awful,is not that awful,no es tan horrible,n'est pas si terrible,ist nicht so schlimm
321,isn't that right,is not that right,no es eso cierto,n'est ce pas,ist das nicht richtig
322,isn't that weird,is not that weird,no es tan raro,n'est pas si bizarre,ist nicht so seltsam
323,it almost worked,it almost worked,casi funcionó,ça a presque marché,es hat fast geklappt
324,it began to snow,it began to snow,empezó a nevar,il a commencé à neiger,Es begann zu schneien
325,it belongs to me,it belongs to me,me pertenece,ça m'appartient,es gehört zu mir
326,it can't be done,it cannot be done,No se puede hacer,ça ne peut pas être fait,es kann nicht getan werden
327,it can't be true,it cannot be true,No puede ser cierto,CA ne peut pas être vrai,Das kann nicht wahr sein
328,it costs 2 euros,it costs 2 euros,cuesta 2 euros,ça coute 2 euros,es kostet 2 euro
329,it couldn't hurt,it could not hurt,no podría doler,ça ne pouvait pas faire de mal,Kann nicht schaden
330,it did the trick,it did the trick,hizo el truco,ça a fait l'affaire,es hat funktioniert
331,it doesn't count,it does not count,no cuenta,ça ne compte pas,es zählt nicht
332,it freaks me out,it freaks me out,eso me asusta,ça me fait flipper,es macht mich wahnsinnig
333,it happened here,it happened here,sucedió aquí,c'est arrivé ici,es ist hier passiert
334,it happens a lot,it happens a lot,sucede mucho,ça arrive beaucoup,es passiert viel
335,it hurts so much,it hurts so much,duele mucho,cela fait si mal,es tut so weh
336,it is cloudy now,it is cloudy now,esta nublado ahora,c'est nuageux maintenant,es ist jetzt bewölkt
337,it is fine today,it is fine today,está bien hoy,il fait beau aujourd'hui,es ist heute in Ordnung
338,it is not my day,it is not my day,no es mi dia,ce n'est pas mon jour,Es ist nicht mein Tag
339,it is very short,it is very short,es muy corto,c'est très court,es ist sehr kurz
340,it is your right,it is your right,es tu derecho,c'est ton droit,es ist dein Recht
341,it isn't a dream,it is not a dream,no es un sueño,ce n'est pas un rêve,es ist kein Traum
342,it isn't a virus,it is not a virus,no es un virus,ce n'est pas un virus,es ist kein Virus
343,it just came out,it just came out,acaba de salir,il vient de sortir,es kam gerade heraus
344,it looks amazing,it looks amazing,se ve increíble,ça a l'air incroyable,es sieht erstaunlich aus
345,it looks painful,it looks painful,parece doloroso,ça a l'air douloureux,es sieht schmerzhaft aus
346,it looks so real,it looks so real,parece tan real,ça a l'air si réel,es sieht so echt aus
347,it made me laugh,it made me laugh,me hizo reír,ça m'a fait rire,es hat mich zum Lachen gebracht
348,it matters a lot,it matters a lot,importa mucho,ça compte beaucoup,es ist sehr wichtig
349,it matters to me,it matters to me,a mi me importa,c'est important pour moi,Es bedeutet mir etwas
350,it may rain soon,it may rain soon,puede llover pronto,il pourrait bientôt pleuvoir,es kann bald regnen
351,it must be there,it must be there,debe estar allí,ça doit être là,es muss da sein
352,it needs washing,it needs washing,necesita lavado,il a besoin d'être lavé,es muss gewaschen werden
353,it seemed likely,it seemed likely,parecía probable,il parait probable,es schien wahrscheinlich
354,it should be fun,it should be fun,debería ser divertido,Cela devrait être amusant,Es sollte Spaß machen
355,it sounds simple,it sounds simple,suena simple,ça a l'air simple,es klingt einfach
356,it was a big one,it was a big one,fue uno grande,c'était une grande,es war eine große
357,it was a miracle,it was a miracle,fue un milagro,c'était un miracle,es war ein Wunder
358,it was a mistake,it was a mistake,fue un error,c'était une erreur,es war ein Fehler
359,it was a tragedy,it was a tragedy,fue una tragedia,c'était une tragédie,es war eine Tragödie
360,it was all there,it was all there,estaba todo ahi,tout était là,es war alles da
361,it was all wrong,it was all wrong,todo estaba mal,tout était faux,es war alles falsch
362,it was effective,it was effective,fue efectivo,c'était efficace,es war effektiv
363,it was excessive,it was excessive,fue excesivo,c'était excessif,es war übertrieben
364,it was his fault,it was his fault,fue su culpa,c'était sa faute,es war seine Schuld
365,it was just hype,it was just hype,era solo exageración,c'était juste du battage médiatique,Es war nur ein Hype
366,it was last year,it was last year,fue el año pasado,c'était l'année dernière,es war letztes Jahr
367,it was mandatory,it was mandatory,era obligatorio,c'était obligatoire,es war Pflicht
368,it was necessary,it was necessary,fue necesario,c'était nécessaire,es war notwendig
369,it was too small,it was too small,era demasiado pequeño,c'était trop petit,es war zu klein
370,it was very cold,it was very cold,hacía mucho frío,il faisait très froid,es war sehr kalt
371,it was very cool,it was very cool,era muy intersante,c'était très cool,Es war sehr cool
372,it was very dark,it was very dark,era muy oscuro,il faisait très sombre,es war sehr dunkel
373,it was very good,it was very good,fue muy bueno,c'était très bon,es war sehr gut
374,it was very ugly,it was very ugly,fue muy feo,c'était très moche,es war sehr hässlich
375,it was your idea,it was your idea,fue idea tuya,c'était ton idée,Es war deine Idee
376,it wasn't a race,it was not a race,no fue una carrera,ce n'était pas une course,es war kein Rennen
377,it wasn't enough,it was not enough,No fue suficiente,Ce n'était pas suffisant,es war nicht genug
378,it will grow old,it will grow old,envejecerá,ça va vieillir,es wird alt
379,it won't be easy,it will not be easy,No será fácil,ça ne sera pas facile,Es wird nicht einfach
380,it won't be hard,it will not be hard,no sera dificil,ce ne sera pas dur,es wird nicht schwer sein
381,it worked for me,it worked for me,funcionó para mí,ça a marché pour moi,bei mir hat es funktioniert
382,it wouldn't hurt,it wouldn t hurt,no dolería,ça ne ferait pas de mal,es würde nicht schaden
383,it'll never work,it will never work,nunca funcionará,ça ne marchera jamais,es wird nie funktionieren
384,it'll snow today,it will snow today,va a nevar hoy,il va neiger aujourd'hui,heute schneit es
385,it's april first,it is april first,es primero de abril,c'est le premier avril,es ist der erste april
386,it's a bad habit,it is a bad habit,es un mal habito,c'est une mauvaise habitude,es ist eine schlechte Angewohnheit
387,it's a full moon,it is a full moon,es luna llena,c'est la pleine lune,es ist Vollmond
388,it's a good deal,it is a good deal,Es un buen trato,C'est un bon marché,es ist ein gutes Geschäft
389,it's a good rule,it is a good rule,es una buena regla,c'est une bonne règle,es ist eine gute Regel
390,it's a good sign,it is a good sign,Es una buena señal,c'est bon signe,es ist ein gutes Zeichen
391,it's a great day,it is a great day,es un gran dia,c'est un grand jour,Es ist ein toller Tag
392,it's a large one,it is a large one,es grande,c'est un grand,es ist ein großes
393,it's a nice town,it is a nice town,es un pueblo bonito,c'est une jolie ville,Es ist eine schöne Stadt
394,it's a rainy day,it is a rainy day,es un día lluvioso,c'est un jour de pluie,Es ist ein regnerischer Tag
395,it's a snowstorm,it is a snowstorm,es una tormenta de nieve,c'est une tempête de neige,es ist ein Schneesturm
396,it's a sunflower,it is a sunflower,es un girasol,c'est un tournesol,es ist eine Sonnenblume
397,it's a sunny day,it is a sunny day,Es un día soleado,c'est une journée ensoleillée,Es ist ein sonniger Tag
398,it's a tradition,it is a tradition,es una tradición,c'est une tradition,es ist eine Tradition
399,it's a windy day,it is a windy day,es un dia ventoso,c'est une journée venteuse,Es ist ein windiger Tag
400,it's all perfect,it is all perfect,todo es perfecto,tout est parfait,es ist alles perfekt
401,it's all settled,it is all settled,todo esta arreglado,tout est réglé,es ist alles geregelt
402,it's all we have,it is all we have,es todo lo que tenemos,c'est tout ce que nous avons,es ist alles was wir haben
403,it's almost over,it is almost over,casi ha terminado,c'est presque fini,es ist fast vorbei
404,it's almost time,it is almost time,es casi la hora,il est presque temps,es ist bald soweit
405,it's an old pain,it is an old pain,es un dolor viejo,c'est une vieille douleur,es ist ein alter Schmerz
406,it's bad for you,it is bad for you,esto es malo para ti,c'est mauvais pour toi,es ist schlecht für dich
407,it's balmy today,it is balmy today,es suave hoy,il fait doux aujourd'hui,heute ist es mild
408,it's complicated,it is complicated,es complicado,c'est compliqué,es ist kompliziert
409,it's conceivable,it is conceivable,es concebible,c'est concevable,es ist denkbar
410,it's cooler here,it is cooler here,es más fresco aquí,il fait plus frais ici,hier ist es kühler
411,it's deer season,it is deer season,es temporada de ciervos,c'est la saison des cerfs,es ist Hirschzeit
412,it's easily done,it is easily done,se hace fácilmente,ça se fait facilement,es ist leicht gemacht
413,it's far-fetched,it is far fetched,es descabellado,c'est tiré par les cheveux,es ist weit hergeholt
414,it's frightening,it is frightening,es aterrador,c'est effrayant,es ist beängstigend
415,it's good enough,it is good enough,es lo suficientemente bueno,c'est assez bon,es ist gut genug
416,it's hot in here,it is hot in here,aca hace calor,il fait chaud ici,es ist heiss hier
417,it's interesting,it is interesting,es interesante,c'est intéressant,es ist interessant
418,it's just a game,it is just a game,Es sólo un juego,ce n'est qu'un jeu,es ist nur ein Spiel
419,it's kind of fun,it is kind of fun,es un poco divertido,c'est plutôt amusant,Es macht irgendwie Spaß
420,it's like a drug,it is like a drug,es como una droga,c'est comme une drogue,es ist wie eine Droge
421,it's my pleasure,it is my pleasure,es un placer,avec plaisir,Es ist mir ein Vergnügen
422,it's my umbrella,it is my umbrella,es mi paraguas,c'est mon parapluie,es ist mein Regenschirm
423,it's no big deal,it is no big deal,no es gran cosa,C pas un grand deal,Es ist keine große Sache
424,it's not a virus,it is not a virus,no es un virus,ce n'est pas un virus,es ist kein Virus
425,it's not all bad,it is not all bad,no todo es malo,tout n'est pas mauvais,es ist nicht alles schlecht
426,it's not for you,it is not for you,no es para ti,ce n'est pas pour toi,es ist nicht für dich
427,it's not illegal,it is not illegal,no es ilegal,ce n'est pas illégal,es ist nicht illegal
428,it's not logical,it is not logical,no es logico,ce n'est pas logique,es ist nicht logisch
429,it's not natural,it is not natural,no es natural,ce n'est pas naturel,es ist nicht natürlich
430,it's not serious,it is not serious,no es serio,c'est pas grave,es ist nicht ernst
431,it's not so easy,it is not so easy,No es tan fácil,ce n'est pas si facile,es ist nicht so einfach
432,it's not so good,it is not so good,no es tan bueno,ce n'est pas si bon,es ist nicht so gut
433,it's not the job,it is not the job,no es el trabajo,ce n'est pas le travail,es ist nicht die Arbeit
434,it's not too far,it is not too far,no está demasiado lejos,ce n'est pas trop loin,es ist nicht zu weit
435,it's now a habit,it is now a habit,ahora es un habito,c'est maintenant une habitude,es ist jetzt eine Gewohnheit
436,it's now my turn,it is now my turn,ahora es mi turno,c'est maintenant mon tour,jetzt bin ich an der Reihe
437,it's on the sofa,it is on the sofa,esta en el sofa,c'est sur le canapé,es liegt auf dem Sofa
438,it's one of mine,it is one of mine,es uno de los mios,c'est l'un des miens,es ist einer von mir
439,it's only a book,it is only a book,es solo un libro,ce n'est qu'un livre,es ist nur ein Buch
440,it's pretty cold,it is pretty cold,hace bastante frio,il fait assez froid,es ist ziemlich kalt
441,it's quite large,it is quite large,es bastante grande,c'est assez grand,es ist ziemlich groß
442,it's rainy today,it is rainy today,esta lluvioso hoy,il pleut aujourd'hui,es ist heute regnerisch
443,it's really cold,it is really cold,hace mucho frio,il fait vraiment froid,es ist wirklich kalt
444,it's regrettable,it is regrettable,es lamentable,c'est regrettable,es ist bedauerlich
445,it's so exciting,it is so exciting,es tan emocionante,c'est tellement excitant,es ist so aufregend
446,it's still alive,it is still alive,todavía está vivo,il est toujours vivant,es lebt noch
447,it's the big one,it is the big one,es el grande,c'est le grand,es ist der große
448,it's the law now,it is the law now,es la ley ahora,c'est la loi maintenant,es ist jetzt Gesetz
449,it's time to eat,it is time to eat,Es hora de comer,il est temps de manger,es ist Zeit zu essen
450,it's transparent,it is transparent,es transparente,c'est transparent,es ist durchsichtig
451,it's unnecessary,it is unnecessary,es innecesario,c'est inutile,es ist unnötig
452,it's very pretty,it is very pretty,es muy bonito,c'est tres jolie,Es ist sehr schön
453,it's very simple,it is very simple,Es muy simple,c'est très simple,es ist sehr einfach
454,it's very sticky,it is very sticky,es muy pegajoso,c'est très collant,es ist sehr klebrig
455,it's way too big,it is way too big,es demasiado grande,c'est beaucoup trop grand,es ist viel zu groß
456,it's worth a try,it is worth a try,Vale la pena intentarlo,ça vaut le coup d'essayer,es ist ein Versuch Wert
457,it's your choice,it is your choice,es tu elección,c'est ton choix,Es ist deine Wahl
458,japan is in asia,japan is in asia,japón está en asia,le japon est en asie,Japan liegt in Asien
459,just a moment ,just a moment ,sólo un momento,juste un moment,Einen Augenblick
460,just do as i say,just do as i say,solo haz lo que digo,fais juste ce que je dis,mach einfach was ich sage
461,just do your job,just do your job,solo haz tu trabajo,fais juste ton boulot,Mach einfach deinen Job
462,just follow them,just follow them,solo siguelos,il suffit de les suivre,Folgen Sie ihnen einfach
463,just get to work,just get to work,solo ponte a trabajar,il suffit de se mettre au travail,mach dich einfach an die arbeit
464,just keep moving,just keep moving,sigue moviéndote,continue juste à bouger,geh einfach weiter
465,just look at him,just look at him,solo míralo,regarde le juste,schau ihn dir einfach an
466,just who are you,just who are you,solo quien eres tu,juste qui es-tu,nur wer bist du
467,keep a cool head,keep a cool head,Manten la cabeza fría,garder la tête froide,Einen kühlen Kopf bewahren
468,keep me informed,keep me informed,mantenerme informado,tiens-moi au courant,halte mich auf dem Laufenden
469,keep the dog out,keep the dog out,mantener al perro fuera,garder le chien dehors,halte den Hund draußen
470,leave that alone,leave that alone,deja eso solo,laisse ça tranquille,lass das bleiben
471,leave that to me,leave that to me,Déjamelo a mí,laisse moi ça,überlass das mir
472,leave the bottle,leave the bottle,dejar la botella,laisser la bouteille,lass die Flasche
473,leave this to me,leave this to me,Déjame esto a mi,laisse moi ça,überlass das mir
474,let go of my arm,let go of my arm,suelta mi brazo,lâche mon bras,lass meinen Arm los
475,let me do my job,let me do my job,déjame hacer mi trabajo,laissez-moi faire mon travail,lass mich meinen Job machen
476,let me handle it,let me handle it,déjame manejarlo,laisse-moi m'en occuper,lass mich damit umgehen
477,let me repair it,let me repair it,déjame repararlo,laissez-moi le réparer,lass es mich reparieren
478,let me stop here,let me stop here,déjame parar aquí,laissez-moi m'arrêter ici,Lassen Sie mich hier aufhören
479,let me take that,let me take that,déjame tomar eso,laisse moi prendre ça,lass mich das nehmen
480,let me try again,let me try again,Déjame intentar de nuevo,laissez-moi réessayer,Lass mich es nochmal versuchen
481,let's be careful,let us be careful,tengamos cuidado,soyons prudents,seien wir vorsichtig
482,let's be friends,let us be friends,Déjanos ser amigos,soyons amis,lass uns Freunde sein
483,let's compromise,let us compromise,comprometámonos,faisons des compromis,lassen Sie uns einen Kompromiss eingehen
484,let's cross here,let us cross here,crucemos aquí,traversons ici,lass uns hier überqueren
485,let's do our job,let us do our job,hagamos nuestro trabajo,faisons notre travail,lassen Sie uns unsere Arbeit machen
486,let's go ask tom,let us go ask tom,vamos a preguntarle a tom,allons demander à tom,Lass uns Tom fragen
487,let's go by taxi,let us go by taxi,vamos en taxi,allons en taxi,Lass uns mit dem Taxi fahren
488,let's go camping,let us go camping,vamos a acampar,allons camper,Lass uns campen gehen
489,let's go dancing,let us go dancing,vamos a bailar,allons danser,lass uns tanzen gehen
490,let's go fishing,let us go fishing,vamos a pescar,allons pêcher,lass uns fischen gehen
491,let's have lunch,let us have lunch,vamos a almorzar,déjeunons,lass uns zu Mittag essen
492,let's have sushi,let us have sushi,comemos sushi,mangeons des sushis,Lass uns Sushi essen
493,let's just do it,let us just do it,solo hagámoslo,faisons-le,lass es uns einfach tun
494,let's keep quiet,let us keep quiet,mantengámonos en silencio,taisons-nous,lass uns schweigen
495,let's play cards,let us play cards,juguemos a las cartas,jouons aux cartes,Lasst uns Karten spielen
496,let's play catch,let us play catch,juguemos a atrapar,jouons au catch,Lass uns Fangen spielen
497,let's play darts,let us play darts,juguemos a los dardos,jouons aux fléchettes,Lass uns Dart spielen
498,let's play house,let us play house,juguemos a la casita,jouons à la maison,lass uns Haus spielen
499,let's start here,let us start here,comencemos aquí,commençons ici,Lassen Sie uns hier beginnen
500,let's take a bus,let us take a bus,vamos a tomar un autobús,prenons un bus,lass uns einen Bus nehmen
501,let's take a cab,let us take a cab,tomemos un taxi,prenons un taxi,Lass uns ein Taxi nehmen
502,life can be hard,life can be hard,la vida puede ser dura,la vie peut être dure,das leben kann hart sein
503,light the candle,light the candle,enciende la vela,allume la bougie,zünde die Kerze an
504,listen carefully,listen carefully,escucha cuidadosamente,écoute attentivement,Hör genau zu
505,live free or die,live free or die,vive libre o muere,vivre libre ou mourir,lebe frei oder stirb
506,look at that dog,look at that dog,mira ese perro,regarde ce chien,schau dir diesen hund an
507,look at this one,look at this one,mira este,regarder celui-ci,Schau dir dieses an
508,look at your map,look at your map,mira tu mapa,regarde ta carte,schau mal auf deine karte
509,look who's there,look who is there,mira quien esta ahi,regarde qui est là,schau wer da ist
510,lower your voice,lower your voice,baja la voz,Parle moins fort,Senke deine Stimme
511,mail this letter,mail this letter,enviar esta carta,envoyer cette lettre,schicke diesen Brief
512,"make way, please",make way  please,abre paso por favor,faites place s'il vous plait,bitte Platz machen
513,make your choice,make your choice,haz tu elección,fais ton choix,Treffen Sie Ihre Wahl
514,mars is a planet,mars is a planet,marte es un planeta,Mars est une planète,Mars ist ein Planet
515,mary is charming,mary is charming,María es encantadora,Marie est charmante,maria ist charmant
516,mary is my niece,mary is my niece,María es mi sobrina,Marie est ma nièce,Mary ist meine Nichte
517,mary is pregnant,mary is pregnant,María está embarazada,Marie est enceinte,Maria ist schwanger
518,mary slapped tom,mary slapped tom,María abofeteó a Tom,Marie a giflé Tom,Mary schlug Tom
519,may i assist you,may i assist you,puedo ayudarte,Puis-je vous aider,Kann ich Ihnen helfen
520,may i be excused,may i be excused,Permiso,puis-je être excusé,darf ich entschuldigt sein
521,may i come again,may i come again,puedo volver otra vez,Puis-je revenir,darf ich wieder kommen
522,may i open a can,may i open a can,puedo abrir una lata,Puis-je ouvrir une boîte,Darf ich eine Dose öffnen
523,may i smoke here,may i smoke here,Puedo fumar aqui,puis-je fumer ici,Darf ich hier rauchen
524,maybe tom forgot,maybe tom forgot,tal vez tom se olvidó,peut-être que tom a oublié,Vielleicht hat Tom vergessen
525,maybe it'll snow,maybe it will snow,tal vez nieve,peut-être qu'il va neiger,vielleicht schneit es
526,my boat is small,my boat is small,mi barco es pequeño,mon bateau est petit,Mein Boot ist klein
527,my cat is hungry,my cat is hungry,mi gato tiene hambre,mon chat a faim,Meine Katze hat Hunger
528,my dog has fleas,my dog has fleas,mi perro tiene pulgas,mon chien a des puces,Mein Hund hat Flöhe
529,my eyes are blue,my eyes are blue,mis ojos son azules,mes yeux sont bleus,meine Augen sind blau
530,my eyes are sore,my eyes are sore,mis ojos están doloridos,mes yeux sont douloureux,Meine Augen tun weh
531,my father is out,my father is out,mi padre esta fuera,mon père est sorti,mein vater ist raus
532,my father smokes,my father smokes,mi padre fuma,mon père fume,mein vater raucht
533,my feet are cold,my feet are cold,Mis pies están fríos,mes pieds sont froids,meine Füße sind kalt
534,my feet are sore,my feet are sore,me duelen los pies,j'ai mal aux pieds,meine Füße sind wund
535,my feet get cold,my feet get cold,mis pies se enfrían,mes pieds refroidissent,meine Füße werden kalt
536,my glass is full,my glass is full,mi vaso esta lleno,mon verre est plein,Mein Glas ist voll
537,my hat isn't new,my hat is not new,mi sombrero no es nuevo,mon chapeau n'est pas neuf,Mein Hut ist nicht neu
538,my house is nice,my house is nice,mi casa es bonita,ma maison est belle,Mein Haus ist schön
539,my house is tiny,my house is tiny,mi casa es pequeña,ma maison est toute petite,Mein Haus ist winzig
540,my job is boring,my job is boring,mi trabajo es aburrido,mon travail est ennuyeux,Mein Job ist langweilig
541,my legs are fine,my legs are fine,mis piernas están bien,mes jambes vont bien,Meine Beine sind in Ordnung
542,my mother is out,my mother is out,mi madre esta fuera,ma mère est sortie,Meine Mutter ist aus
543,my mouth is numb,my mouth is numb,mi boca está entumecida,ma bouche est engourdie,Mein Mund ist taub
544,my nose is itchy,my nose is itchy,me pica la nariz,mon nez me démange,Meine Nase juckt
545,my pulse is fast,my pulse is fast,mi pulso es rápido,mon pouls est rapide,Mein Puls ist schnell
546,my pulse is slow,my pulse is slow,mi pulso es lento,mon pouls est lent,Mein Puls ist langsam
547,my stomach hurts,my stomach hurts,me duele el estómago,J'ai mal à l'estomac,mein Bauch tut weh
548,my tie is orange,my tie is orange,mi corbata es naranja,ma cravate est orange,Meine Krawatte ist orange
549,my toes are numb,my toes are numb,mis dedos de los pies están entumecidos,mes orteils sont engourdis,Meine Zehen sind taub
550,my wallet's gone,my wallet us gone,mi billetera se ha ido,mon portefeuille est parti,Meine Brieftasche ist weg
551,my wife beats me,my wife beats me,mi esposa me pega,ma femme me bat,Meine Frau schlägt mich
552,never tell a lie,never tell a lie,nunca digas una mentira,ne jamais mentir,lüge niemals
553,nice to meet you,nice to meet you,Encantada de conocerte,Enchanté de faire votre connaissance,"freut mich, Sie kennenzulernen"
554,no need to worry,no need to worry,no hay necesidad de preocuparse,pas besoin de s'inquiéter,kein Grund zur Sorge
555,no one asked you,no one asked you,nadie te pregunto,personne ne t'a demandé,niemand hat dich gefragt
556,no one can leave,no one can leave,nadie puede irse,personne ne peut partir,niemand kann gehen
557,no one disagreed,no one disagreed,nadie estuvo en desacuerdo,personne n'était en désaccord,niemand widersprach
558,no one does that,no one does that,nadie hace eso,personne ne fait ça,niemand tut das
559,no one ever came,no one ever came,nunca vino nadie,personne n'est jamais venu,es kam nie jemand
560,no one helped me,no one helped me,nadie me ayudo,personne ne m'a aidé,keiner hat mir geholfen
561,no one is amused,no one is amused,nadie se divierte,personne ne s'amuse,niemand ist amüsiert
562,no one is around,no one is around,no hay nadie alrededor,personne n'est autour,niemand ist da
563,no one is coming,no one is coming,nadie viene,personne ne vient,niemand kommt
564,no one knew that,no one knew that,nadie sabía eso,personne ne le savait,das wusste keiner
565,no one knows why,no one knows why,nadie sabe por qué,personne ne sait pourquoi,niemand weiß warum
566,no one knows yet,no one knows yet,nadie sabe todavía,personne ne sait encore,das weiß noch keiner
567,no one likes war,no one likes war,a nadie le gusta la guerra,personne n'aime la guerre,Niemand mag Krieg
568,no one loves war,no one loves war,nadie ama la guerra,personne n'aime la guerre,Niemand liebt Krieg
569,no one responded,no one responded,nadie respondió,personne n'a répondu,niemand hat geantwortet
570,no one says that,no one says that,nadie dice eso,personne ne dit ça,das sagt keiner
571,no one showed up,no one showed up,nadie apareció,personne ne s'est présenté,niemand ist aufgetaucht
572,no one thinks so,no one thinks so,nadie piensa así,personne ne le pense,niemand denkt so
573,no one warned me,no one warned me,nadie me avisó,personne ne m'a prévenu,niemand hat mich gewarnt
574,no one warned us,no one warned us,nadie nos avisó,personne ne nous a prévenu,niemand hat uns gewarnt
575,no one was alive,no one was alive,nadie estaba vivo,personne n'était vivant,niemand lebte
576,no one was fired,no one was fired,nadie fue despedido,personne n'a été licencié,niemand wurde entlassen
577,no one was stung,no one was stung,nadie fue picado,personne n'a été piqué,niemand wurde gestochen
578,no one was there,no one was there,Nadie estuvo alli,personne n'était là,Niemand war da
579,no one will care,no one will care,a nadie le importará,personne ne s'en souciera,niemand wird sich darum kümmern
580,no one will know,no one will know,nadie lo sabrá,personne ne saura,niemand wird es wissen
581,no one will talk,no one will talk,nadie hablará,personne ne parlera,niemand wird sprechen
582,no one's injured,no one s injured,nadie está herido,personne n'est blessé,niemand ist verletzt
583,no one's looking,no one s looking,nadie está mirando,personne ne regarde,niemand guckt
584,no one's perfect,no one s perfect,nadie es perfecto,personne n'est parfait,niemand ist perfekt
585,no one's talking,no one s talking,nadie habla,personne ne parle,niemand redet
586,no one's working,no one s working,nadie esta trabajando,personne ne travaille,niemand arbeitet
587,"no pain, no gain",no pain  no gain,Sin dolor no hay ganancia,on a rien sans rien,kein Schmerz kein Gewinn
588,nobody does that,nobody does that,nadie hace eso,personne ne fait ça,niemand macht das
589,nobody likes tom,nobody likes tom,a nadie le gusta tom,personne n'aime tom,Niemand mag Tom
590,nobody likes her,nobody likes her,a nadie le gusta ella,personne ne l'aime,niemand mag sie
591,nobody likes war,nobody likes war,a nadie le gusta la guerra,personne n'aime la guerre,Niemand mag Krieg
592,nobody likes you,nobody likes you,a nadie le gustas,personne ne t'aime,niemand mag dich
593,nobody loves war,nobody loves war,nadie ama la guerra,personne n'aime la guerre,Niemand liebt Krieg
594,nobody must know,nobody must know,nadie debe saber,personne ne doit savoir,niemand darf es wissen
595,nobody remembers,nobody remembers,nadie recuerda,personne ne se souvient,niemand erinnert sich
596,nobody showed up,nobody showed up,nadie apareció,personne ne s'est présenté,niemand ist aufgetaucht
597,nobody will know,nobody will know,nadie sabrá,Personne ne saura,Niemand wird es wissen
598,nobody's perfect,nobody s perfect,nadie es perfecto,personne n'est parfait,Niemand ist vollkommen
599,nothing happened,nothing happened,no pasó nada,rien ne s'est passé,nichts ist passiert
600,now i understand,now i understand,Ahora entiendo,"Maintenant, je comprends",jetzt verstehe ich
601,now i'm done for,now i am done for,ahora he terminado,maintenant j'en ai fini,jetzt bin ich erledigt
602,obey your father,obey your father,obedece a tu padre,obéis à ton père,gehorche deinem Vater
603,"oh no, not again",oh no  not again,"Oh no, no otra vez",Oh non pas encore,Oh nein nicht schon wieder
604,"oh, i'm so sorry",oh  i am so sorry,oh lo siento mucho,oh je suis tellement désolé,oh es tut mir so leid
605,oil is expensive,oil is expensive,el petroleo es caro,le pétrole est cher,Öl ist teuer
606,open the windows,open the windows,abre las ventanas,ouvre la fenêtre,öffne die Fenster
607,open these doors,open these doors,abre estas puertas,ouvre ces portes,öffne diese Türen
608,our kids are fat,our kids are fat,nuestros hijos son gordos,nos enfants sont gros,Unsere Kinder sind dick
609,our team can win,our team can win,nuestro equipo puede ganar,notre équipe peut gagner,Unser Team kann gewinnen
610,our team may win,our team may win,nuestro equipo puede ganar,notre équipe peut gagner,unser Team kann gewinnen
611,pass me the salt,pass me the salt,pásame la sal,passe-moi le sel,reich mir das Salz
612,pass me the wine,pass me the wine,pasame el vino,passe moi le vin,reichen Sie mir den Wein
613,people are dying,people are dying,la gente esta muriendo,les gens meurent,Menschen sterben
614,people will talk,people will talk,la gente hablará,les gens parleront,Leute werden reden
615,pets are allowed,pets are allowed,se permiten mascotas,les animaux sont admis,Haustiere sind erlaubt
